Table 1,,,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2016,"8,518","3,753",831,"3,935",,44.10%,,,
2017,"8,378","3,642",783,"3,952",,43.50%,,,
,,,,,,,,,
2016 Q4,"2,133",940,205,988,,44.10%,,,
2017 Q1,"2,119",924,203,992,,43.60%,,,
2017 Q2,"2,112",920,195,998,,43.50%,,,
2017 Q3,"2,097",909,195,994,,43.30%,,,
2017 Q4,"2,049",889,191,968,,43.40%,,,
,,,,,,,,,
Access,,,,,,,,,
2016,"6,356","2,542",650,"3,164",,40.00%,,,
2017,"6,466","2,514",649,"3,303",,38.90%,,,
,,,,,,,,,
2016 Q4,"1,607",638,164,805,,39.70%,,,
2017 Q1,"1,615",632,166,818,,39.10%,,,
2017 Q2,"1,630",636,163,832,,39.00%,,,
2017 Q3,"1,624",629,161,833,,38.80%,,,
2017 Q4,"1,596",617,160,820,,38.60%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2016,"2,163","1,211",180,771,,56.00%,,,
2017,"1,912","1,128",135,650,,59.00%,,,
,,,,,,,,,
2016 Q4,526,303,40,183,,57.50%,,,
2017 Q1,504,292,37,174,,58.00%,,,
2017 Q2,482,284,32,166,,58.90%,,,
2017 Q3,473,279,34,161,,59.00%,,,
2017 Q4,453,272,32,149,,60.20%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 2,,,,,,,,,
Summary of exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
,,,,,,,,,
2016,"33,565","12,387","4,891","16,287",,36.90%,,,
2017,"33,097","12,888","4,825","15,385",,38.90%,,,
,,,,,,,,,
2016 Q4,"33,565","12,387","4,891","16,287",,36.90%,,,
2017 Q1,"33,305","12,238","4,811","16,257",,36.70%,,,
2017 Q2,"33,035","12,102","4,824","16,109",,36.60%,,,
2017 Q3,"32,836","11,976","4,829","16,030",,36.50%,,,
2017 Q4,"33,097","12,888","4,825","15,385",,38.90%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 3,,,,,,,,,
Summary of call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other Direct Access,Other Indirect Access,BT share  (exc. EE),,,
,,,,,,,,,
2016,"64,844","25,194","7,222","20,151","12,277",38.90%,,,
2017,"53,593","21,945","4,483","16,913","10,252",40.90%,,,
,,,,,,,,,
2016 Q4,"15,334","6,043","1,504","4,825","2,962",39.40%,,,
2017 Q1,"14,853","5,954","1,310","4,592","2,997",40.10%,,,
2017 Q2,"13,269","5,306","1,070","4,297","2,595",40.00%,,,
2017 Q3,"12,843","5,193","1,091","4,040","2,519",40.40%,,,
2017 Q4,"12,629","5,492","1,012","3,985","2,140",43.50%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 4,,,,,,,,,
Summary of call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2016,"2,163",625,187,529,821,,,,
2017,"1,912",551,157,441,763,,,,
,,,,,,,,,
2016 Q4,526,153,44,123,206,,,,
2017 Q1,504,151,44,118,191,,,,
2017 Q2,482,137,39,112,194,,,,
2017 Q3,473,134,37,107,196,,,,
2017 Q4,453,129,36,104,183,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
Summary of call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2016,"41,927","16,978","5,574","11,637","7,738",40.50%,,,
2017,"34,692","14,914","3,338","10,144","6,296",43.00%,,,
,,,,,,,,,
2016 Q4,"9,946","4,075","1,155","2,837","1,879",41.00%,,,
2017 Q1,"9,576","4,017",994,"2,770","1,795",41.90%,,,
2017 Q2,"8,591","3,630",801,"2,533","1,627",42.30%,,,
2017 Q3,"8,267","3,513",800,"2,427","1,527",42.50%,,,
2017 Q4,"8,258","3,754",743,"2,414","1,347",45.50%,,,
,,,,,,,,,
International calls,,,,,,,,,
2016,"3,301",675,173,"1,813",640,20.40%,,,
2017,"2,514",576,107,"1,367",464,22.90%,,,
,,,,,,,,,
2016 Q4,735,157,36,390,152,21.40%,,,
2017 Q1,677,153,31,351,141,22.60%,,,
2017 Q2,622,140,26,336,121,22.50%,,,
2017 Q3,612,130,26,345,111,21.20%,,,
2017 Q4,603,153,24,335,91,25.40%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2016,"6,881","2,525",633,"1,892","1,830",36.70%,,,
2017,"6,253","2,304",508,"1,819","1,622",36.80%,,,
,,,,,,,,,
2016 Q4,"1,717",603,142,524,448,35.10%,,,
2017 Q1,"1,684",601,134,499,451,35.70%,,,
2017 Q2,"1,581",571,119,478,413,36.10%,,,
2017 Q3,"1,510",559,131,423,397,37.00%,,,
2017 Q4,"1,477",573,124,419,361,38.80%,,,
,,,,,,,,,
Other calls1,,,,,,,,,
2016,"12,735","5,016",842,"4,809","2,068",39.40%,,,
2017,"10,134","4,151",530,"3,583","1,870",41.00%,,,
,,,,,,,,,
2016 Q4,"2,935","1,208",171,"1,074",483,41.20%,,,
2017 Q1,"2,915","1,183",151,971,610,40.60%,,,
2017 Q2,"2,474",965,124,950,435,39.00%,,,
2017 Q3,"2,454",991,134,845,484,40.40%,,,
2017 Q4,"2,290","1,012",121,817,341,44.20%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 6,,,,,,,,,
Summary of residential network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2016,"6,179","2,541",761,"2,878",,41.10%,,,
2017,"6,191","2,509",719,"2,963",,40.50%,,,
,,,,,,,,,
2016 Q4,"1,553",643,188,722,,41.40%,,,
2017 Q1,"1,540",625,185,730,,40.60%,,,
2017 Q2,"1,561",632,179,750,,40.50%,,,
2017 Q3,"1,555",626,179,751,,40.20%,,,
2017 Q4,"1,535",627,176,733,,40.80%,,,
,,,,,,,,,
Access,,,,,,,,,
2016,"4,776","1,669",612,"2,495",,34.90%,,,
2017,"4,969","1,697",614,"2,658",,34.10%,,,
,,,,,,,,,
2016 Q4,"1,212",425,155,632,,35.00%,,,
2017 Q1,"1,225",421,157,648,,34.40%,,,
2017 Q2,"1,251",427,154,670,,34.10%,,,
2017 Q3,"1,251",425,153,674,,34.00%,,,
2017 Q4,"1,242",424,151,667,,34.10%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2016,"1,404",872,149,382,,62.10%,,,
2017,"1,222",812,105,305,,66.50%,,,
,,,,,,,,,
2016 Q4,341,218,33,90,,64.00%,,,
2017 Q1,315,204,29,82,,64.80%,,,
2017 Q2,310,205,26,79,,66.10%,,,
2017 Q3,304,200,26,77,,66.00%,,,
2017 Q4,293,203,24,66,,69.20%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 7,,,,,,,,,
Summary of residential exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2016,"26,482","9,404","4,379","12,698",,35.50%,,,
2017,"26,661","10,191","4,424","12,046",,38.20%,,,
,,,,,,,,,
2016 Q4,"26,482","9,404","4,379","12,698",,35.50%,,,
2017 Q1,"26,401","9,327","4,390","12,684",,35.30%,,,
2017 Q2,"26,297","9,259","4,414","12,624",,35.20%,,,
2017 Q3,"26,245","9,199","4,422","12,624",,35.00%,,,
2017 Q4,"26,661","10,191","4,424","12,046",,38.20%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 8,,,,,,,,,
Summary of residential call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2016,"43,277","17,508","6,063","19,706",,40.50%,,,
2017,"34,968","15,243","3,418","16,307",,43.60%,,,
,,,,,,,,,
2016 Q4,"10,229","4,234","1,238","4,757",,41.40%,,,
2017 Q1,"9,748","4,118","1,030","4,600",,42.20%,,,
2017 Q2,"8,642","3,632",836,"4,174",,42.00%,,,
2017 Q3,"8,299","3,557",814,"3,928",,42.90%,,,
2017 Q4,"8,279","3,936",738,"3,605",,47.50%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 9,,,,,,,,,
Summary of residential call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2016,"1,404",428,111,270,596,,,,
2017,"1,222",362,89,228,543,,,,
,,,,,,,,,
2016 Q4,341,102,26,62,151,,,,
2017 Q1,315,98,24,58,135,,,,
2017 Q2,310,91,22,59,138,,,,
2017 Q3,304,87,21,56,139,,,,
2017 Q4,293,86,21,55,130,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 10,,,,,,,,,
Summary of residential call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
